Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,154,47
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,153,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,152,49
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,151,50
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,150,51
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,149,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,148,53
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,147,54
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,146,55
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,145,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,144,57
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,143,58
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,142,59
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,141,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,140,61
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,139,62
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,138,63
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,137,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,136,65
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,135,66
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,134,67
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,133,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,132,69
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,131,70
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,130,71
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,129,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,128,73
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,127,74
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,126,75
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,125,76
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,124,77
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,123,78
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,122,79
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,121,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,120,81
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,119,82
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,118,83
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,117,84
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,116,85
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,115,86
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,114,87
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,113,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,112,89
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,111,90
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,110,91
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,109,92
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,108,93
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,107,94
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,106,95
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,105,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,104,97
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,103,98
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,102,99
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,101,100
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,100,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,99,2
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,98,3
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,97,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,96,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,95,6
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,94,7
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,93,8
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,92,9
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,91,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,90,11
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,89,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,88,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,87,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,86,15
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,85,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,84,17
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,83,18
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,82,19
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,81,20
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,80,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,79,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,78,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,77,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,76,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,75,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,74,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,73,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,72,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,71,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,70,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,69,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,68,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,67,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,66,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,65,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,64,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,63,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,62,39
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,61,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,60,41
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,59,42
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,58,43
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,57,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,56,45
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,55,46
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,54,47
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,53,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,52,49
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,51,50
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,50,51
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,49,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,48,53
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,47,54
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,46,55
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,45,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,44,57
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,43,58
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,42,59
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,41,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,40,61
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,39,62
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,38,63
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,37,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,36,65
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,35,66
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,34,67
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,33,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,32,69
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,31,70
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,30,71
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,29,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,28,73
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,27,74
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,26,75
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,25,76
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,24,77
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,23,78
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,22,79
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,21,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,20,81
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,19,82
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,18,83
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,17,84
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,16,85
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,15,86
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,14,87
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,13,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,12,89
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,11,90
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,10,91
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,9,92
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,8,93
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,7,94
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,6,95
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,5,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,4,97
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,3,98
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,2,99
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,1,100
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,200,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,199,2
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,198,3
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,197,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,196,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,195,6
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,194,7
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,193,8
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,192,9
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,191,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,190,11
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,189,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,188,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,187,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,186,15
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,185,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,184,17
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,183,18
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,182,19
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,181,20
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,180,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,179,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,178,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,177,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,176,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,175,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,174,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,173,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,172,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,171,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,170,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,169,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,168,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,167,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,166,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,165,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,164,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,163,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,162,39
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,161,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,160,41
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,159,42
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,158,43
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,157,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,156,45
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,155,46
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,154,47
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,153,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,152,49
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,151,50
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,150,51
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,149,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,148,53
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,147,54
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,146,55
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,145,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,144,57
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,143,58
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,142,59
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,141,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,140,61
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,139,62
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,138,63
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,137,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,136,65
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,135,66
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,134,67
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,133,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,132,69
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,131,70
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,130,71
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,129,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,128,73
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,127,74
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,126,75
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,125,76
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,124,77
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,123,78
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,122,79
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,121,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,120,81
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,119,82
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,118,83
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,117,84
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,116,85
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,115,86
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,114,87
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,113,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,112,89
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,111,90
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,110,91
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,109,92
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,108,93
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,107,94
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,106,95
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,105,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,104,97
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,103,98
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,102,99
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,101,100
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,100,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,99,2
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,98,3
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,97,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,96,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,95,6
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,94,7
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,93,8
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,92,9
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,91,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,90,11
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,89,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,88,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,87,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,86,15
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,85,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,84,17
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,83,18
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,82,19
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,81,20
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,80,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,79,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,78,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,77,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,76,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,75,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,74,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,73,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,72,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,71,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,70,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,69,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,68,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,67,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,66,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,65,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,64,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,63,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,62,39
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,61,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,60,41
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,59,42
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,58,43
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,57,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,56,45
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,55,46
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,54,47
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,53,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,52,49
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,51,50
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,50,51
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,49,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,48,53
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,47,54
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,46,55
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,45,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,44,57
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,43,58
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,42,59
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,41,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,40,61
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,39,62
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,38,63
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,37,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,36,65
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,35,66
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,34,67
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,33,68
